"year","orig_reg","dest_reg","migrants","orig_lon","orig_lat","dest_lon","dest_lat"
"1314","Norteast","Midwest",15069,-75.1180519692808,40.8002023270371,-93.9386496205905,42.659805738899
"1314","Norteast","South",135644,-75.1180519692808,40.8002023270371,-90.1508249729388,33.4587544750082
"1314","Norteast","West",48392,-75.1180519692808,40.8002023270371,-112.998550838158,40.7855973904352
"1314","Midwest","Norteast",13538,-94.9386496205905,40.659805738899,-74.1180519692808,42.8002023270371
"1314","Midwest","South",82021,-94.9386496205905,40.659805738899,-90.1508249729388,33.4587544750082
"1314","Midwest","West",54685,-94.9386496205905,40.659805738899,-112.998550838158,40.7855973904352
"1314","South","Norteast",67715,-91.1508249729388,31.4587544750082,-74.1180519692808,42.8002023270371
"1314","South","Midwest",45579,-91.1508249729388,31.4587544750082,-93.9386496205905,42.659805738899
"1314","South","West",96414,-91.1508249729388,31.4587544750082,-112.998550838158,40.7855973904352
"1314","West","Norteast",27865,-113.998550838158,38.7855973904352,-74.1180519692808,42.8002023270371
"1314","West","Midwest",31160,-113.998550838158,38.7855973904352,-93.9386496205905,42.659805738899
"1314","West","South",105833,-113.998550838158,38.7855973904352,-90.1508249729388,33.4587544750082
"1415","Norteast","Midwest",9305,-75.1180519692808,40.8002023270371,-93.9386496205905,42.659805738899
"1415","Norteast","South",92289,-75.1180519692808,40.8002023270371,-90.1508249729388,33.4587544750082
"1415","Norteast","West",35095,-75.1180519692808,40.8002023270371,-112.998550838158,40.7855973904352
"1415","Midwest","Norteast",8959,-94.9386496205905,40.659805738899,-74.1180519692808,42.8002023270371
"1415","Midwest","South",50930,-94.9386496205905,40.659805738899,-90.1508249729388,33.4587544750082
"1415","Midwest","West",35615,-94.9386496205905,40.659805738899,-112.998550838158,40.7855973904352
"1415","South","Norteast",51163,-91.1508249729388,31.4587544750082,-74.1180519692808,42.8002023270371
"1415","South","Midwest",32474,-91.1508249729388,31.4587544750082,-93.9386496205905,42.659805738899
"1415","South","West",70609,-91.1508249729388,31.4587544750082,-112.998550838158,40.7855973904352
"1415","West","Norteast",19298,-113.998550838158,38.7855973904352,-74.1180519692808,42.8002023270371
"1415","West","Midwest",18768,-113.998550838158,38.7855973904352,-93.9386496205905,42.659805738899
"1415","West","South",68395,-113.998550838158,38.7855973904352,-90.1508249729388,33.4587544750082
"1516","Norteast","Midwest",15724,-75.1180519692808,40.8002023270371,-93.9386496205905,42.659805738899
"1516","Norteast","South",141980,-75.1180519692808,40.8002023270371,-90.1508249729388,33.4587544750082
"1516","Norteast","West",56801,-75.1180519692808,40.8002023270371,-112.998550838158,40.7855973904352
"1516","Midwest","Norteast",14104,-94.9386496205905,40.659805738899,-74.1180519692808,42.8002023270371
"1516","Midwest","South",79052,-94.9386496205905,40.659805738899,-90.1508249729388,33.4587544750082
"1516","Midwest","West",62459,-94.9386496205905,40.659805738899,-112.998550838158,40.7855973904352
"1516","South","Norteast",67496,-91.1508249729388,31.4587544750082,-74.1180519692808,42.8002023270371
"1516","South","Midwest",49382,-91.1508249729388,31.4587544750082,-93.9386496205905,42.659805738899
"1516","South","West",110192,-91.1508249729388,31.4587544750082,-112.998550838158,40.7855973904352
"1516","West","Norteast",29200,-113.998550838158,38.7855973904352,-74.1180519692808,42.8002023270371
"1516","West","Midwest",32588,-113.998550838158,38.7855973904352,-93.9386496205905,42.659805738899
"1516","West","South",99540,-113.998550838158,38.7855973904352,-90.1508249729388,33.4587544750082
"1617","Norteast","Midwest",25283,-75.1180519692808,40.8002023270371,-93.9386496205905,42.659805738899
"1617","Norteast","South",199325,-75.1180519692808,40.8002023270371,-90.1508249729388,33.4587544750082
"1617","Norteast","West",79295,-75.1180519692808,40.8002023270371,-112.998550838158,40.7855973904352
"1617","Midwest","Norteast",22320,-94.9386496205905,40.659805738899,-74.1180519692808,42.8002023270371
"1617","Midwest","South",116489,-94.9386496205905,40.659805738899,-90.1508249729388,33.4587544750082
"1617","Midwest","West",91591,-94.9386496205905,40.659805738899,-112.998550838158,40.7855973904352
"1617","South","Norteast",100308,-91.1508249729388,31.4587544750082,-74.1180519692808,42.8002023270371
"1617","South","Midwest",76717,-91.1508249729388,31.4587544750082,-93.9386496205905,42.659805738899
"1617","South","West",161427,-91.1508249729388,31.4587544750082,-112.998550838158,40.7855973904352
"1617","West","Norteast",46259,-113.998550838158,38.7855973904352,-74.1180519692808,42.8002023270371
"1617","West","Midwest",55222,-113.998550838158,38.7855973904352,-93.9386496205905,42.659805738899
"1617","West","South",155711,-113.998550838158,38.7855973904352,-90.1508249729388,33.4587544750082
"1718","Norteast","Midwest",17863,-75.1180519692808,40.8002023270371,-93.9386496205905,42.659805738899
"1718","Norteast","South",142971,-75.1180519692808,40.8002023270371,-90.1508249729388,33.4587544750082
"1718","Norteast","West",59650,-75.1180519692808,40.8002023270371,-112.998550838158,40.7855973904352
"1718","Midwest","Norteast",15947,-94.9386496205905,40.659805738899,-74.1180519692808,42.8002023270371
"1718","Midwest","South",76975,-94.9386496205905,40.659805738899,-90.1508249729388,33.4587544750082
"1718","Midwest","West",64630,-94.9386496205905,40.659805738899,-112.998550838158,40.7855973904352
"1718","South","Norteast",76533,-91.1508249729388,31.4587544750082,-74.1180519692808,42.8002023270371
"1718","South","Midwest",53216,-91.1508249729388,31.4587544750082,-93.9386496205905,42.659805738899
"1718","South","West",118111,-91.1508249729388,31.4587544750082,-112.998550838158,40.7855973904352
"1718","West","Norteast",34672,-113.998550838158,38.7855973904352,-74.1180519692808,42.8002023270371
"1718","West","Midwest",39585,-113.998550838158,38.7855973904352,-93.9386496205905,42.659805738899
"1718","West","South",116328,-113.998550838158,38.7855973904352,-90.1508249729388,33.4587544750082
